1966/01/08	Grateful Dead	Fillmore Auditorium		San Francisco	CA	(acid test)
I:	I'm A King Bee					
	I'm A Hog For You Baby					
	Caution (Do Not Stop On Tracks)					
	> Death Don't Have No Mercy					
1966/03/12	Grateful Dead	Danish Center		Los Angeles	CA	(acid test; first Cold Rain & Snow?)
I:	Cream Puff War					
	Sittin' On Top Of The World					
	Minglewood Blues					
	Tastebud					
	Silver Threads & Golden Needles					
	It's All Over Now Baby Blue					
	Good Lovin'					
	You Don't Have to Ask					
	On The Road Again					
	Next Time You See Me					
	I Know You Rider					
	Hey Little One					
	Cold Rain & Snow					
	I'm A King Bee					
	> Caution (Do Not Stop On Tracks)					
	Stealin'					
1966/03/19	Grateful Dead	Carthay Studios		Los Angeles	CA	(acid test)
I:	Viola Lee Blues					
	One Kind Favor					
	I Know You Rider					
	Look At Me					
	It's A Sin					
	Beat It On Down The Line					
	Heads Up (Instrumental)					
	Next Time You See Me					
	Stormy Monday Jam					
	Death Don't Have No Mercy					
	In The Midnight Hour					
1966/03/25	Grateful Dead	Trouper's Club		Los Angeles	CA	(acid test)
I:	Stealin'					
	Jam					
	Hey Little One					
	I'm A Hog For You Baby					
	You Don't Have To Ask					
	Cold Rain & Snow					
	Next Time You See Me					
1966/05/19	Grateful Dead	Avalon Ballroom		San Francisco	CA	
I:	Beat It On Down The Line					
	Standing On The Corner					
	Mindbender (Confusion's Prince)					
	It Hurts Me Too					
	Viola Lee Blues					
	I Know You Rider					
	I Know It's A Sin					
	Sick and Tired					
	Cream Puff War					
II:	Sittin' On Top Of The World					
	Minglewood Blues					
	Cold Rain & Snow					
	Tastebud					
	Silver Threads & Golden Needles					
	It's All Over Now Baby Blue					
	Good Lovin'					
	You Don't Have To Ask					
1966/06/01	Grateful Dead	Scorpio Studios		San Francisco	CA	
I:	Stealin'					
	I Know You Rider					
	Don't Ease Me In					
	You Don't Have To Ask					
	Tastebud					
	Cardboard Cowboy					
	Stealin'					
	I Know You Rider					
	Cold Rain & Snow					
1966/07/03	Grateful Dead	Fillmore Auditorium		San Francisco	CA	(released as part of 30 Trips Around The Sun)
I:	Nobody's Fault But Mine					
	Dancin' In The Streets					
	I Know You Rider					
	He Was A Friend of Mine					
	Next Time You See Me					
	Viola Lee Blues					
	Big Boss Man					
	Sittin' On Top Of The World					
	Keep Rolling By					
	Minglewood Blues					
	Cold Rain & Snow					
	Tastebud					
	Beat It On Down The Line					
	Cream Puff War					
	Don't Mess Up A Good Thing					
	Cardboard Cowboy					
	Gangster of Love					
	You Don't Have To Ask					
	In The Midnight Hour					
1966/07/16	Grateful Dead	Fillmore Auditorium		San Francisco	CA	
I:	I Know You Rider					
	Big Boss Man					
	Standing On The Corner					
	Beat It On Down The Line					
	In The Pines					
	Cardboard Cowboy					
	Nobody's Fault But Mine					
	Next Time You See Me					
	He Was A Friend Of Mine					
	Cream Puff War					
	Viola Lee Blues					
	Don't Ease Me In					
	> Pain In My Heart					
	Minglewood Blues					
	> Sittin' On Top Of The World					
	You Don't Have To Ask					
	Cold Rain & Snow					
	> Good Morning Little Schoolgirl					
	> It's All Over Now Baby Blue					
	Dancin' In The Streets					
1966/07/17	Grateful Dead	Fillmore Auditorium		San Francisco	CA	
I:	Big Boss Man					
	Standing On The Corner					
	> Beat It On Down The Line					
	> In The Pines					
	Cardboard Cowboy					
	> Nobody's Fault But Mine					
	Next Time You See Me					
1966/07/29	Grateful Dead	P.N.E. Garden Auditorium		Vancouver	BC	
I:	Dancin' In The Streets					
	Cold Rain & Snow					
	I'm A King Bee					
	One Kind Favor					
	You Don't Have To Ask					
	Hey Little One					
	Beat It On Down The Line					
	Good Morning Little Schoolgirl					
	Minglewood Blues					
1966/07/30	Grateful Dead	P.N.E. Garden Auditorium		Vancouver	BC	
I:	Standing On The Corner					
	I Know You Rider					
	Next Time You See Me					
	Sittin' On Top Of The World					
	You Don't Have To Ask					
	Big Boss Man					
	Stealin'					
	Cardboard Cowboy					
	It's All Over Now Baby Blue					
	Cream Puff War					
II:	Viola Lee Blues					
	Beat It On Down The Line					
	Good Morning Little Schoolgirl					
1966/09/16	Grateful Dead	Avalon Ballroom		San Francisco	CA	
I:	I Know You Rider					
	It Hurts Me Too					
	It's All Over Now Baby Blue					
	Good Morning Little Schoolgirl					
	Lindy					
	Dancin' In The Streets					
E:	In the Midnight Hour					
1966/10/31	Grateful Dead	California Hall		San Francisco	CA	(the GD had originally signed on to play the Acid Test Graduation at Winterland, but pulled out along with Bill Graham)
I:	Viola Lee Blues					
	Alice D Millionaire					
1966/11/19	Grateful Dead	Fillmore Auditorium		San Francisco	CA	
I:	Cold Rain & Snow					
	Hi Heeled Sneakers					
	Pain In My Heart					
	Beat It On Down The Line					
	Cream Puff War					
	The Same Thing					
	He Was A Friend of Mine					
	Dancin' In The Streets					
II:	Smokestack Lightning					
	> I'm A King Bee					
	In the Midnight Hour					
1966/11/29	Grateful Dead	The Matrix		San Francisco	CA	(first Me & My Uncle)
I:	Cream Puff War?					
II:	Me & My Uncle					
	The Same Thing					
	Stealin'					
	Big Boy Pete					
	One Kind Favor					
	Early Morning Rain					
	Cold Rain & Snow					
	Viola Lee Blues					
III:	Down So Long					
	Something On Your Mind					
	Lindy					
	Good Morning Little Schoolgirl					
	I Just Wanna Make Love To You					
1966/12/01	Grateful Dead	The Matrix		San Francisco	CA	
I:	Minglewood Blues					
	Betty And Dupree					
	Next Time You See Me					
	I Know You Rider					
	Big Boss Man					
	One Kind Favor					
	Alice D Millionaire					
	Me & My Uncle					
	Cream Puff War					
	You Don't Love Me					
	Beat It On Down The Line					
	It Hurts Me Too					
	On The Road Again					
	Look On Yonder's Wall					
	It's My Own Fault					
	Down So Long					
	Cold Rain & Snow					
	Viola Lee Blues					
	Deep Elem Blues					
	Something On Your Mind					
	Big Boy Pete					
	Death Don't Have No Mercy					
	Lindy					
	Dancin' In The Streets					
	Me & My Uncle					
1967/01/14	Grateful Dead	Golden Gate Park	Polo Field	San Francisco	CA	(Human Be-In)
I:	Viola Lee Blues					
	Good Morning Little Schoolgirl					
1967/03/18	Grateful Dead	Winterland Arena		San Francisco	CA	(first Morning Dew)
I:	Me & My Uncle					
	Next Time You See Me					
	He Was A Friend of Mine					
	Smokestack Lightning					
	Morning Dew					
	It Hurts Me Too					
	Beat It On Down The Line					
	Dancin' In The Streets					
II:	The Golden Road					
	Cream Puff War					
	The Same Thing					
	Cold Rain & Snow					
	Viola Lee Blues					
	Death Don't Have No Mercy					
1967/06/18	Grateful Dead	Monterey Fairgrounds		Monterey	CA	(Monterey International Pop Festival; Alligator> Caution are uncertain for this date, but would be the first live performance of Alligator)
I:	Cold Rain & Snow					
	Viola Lee Blues					
	Alligator					
	> Caution (Do Not Stop on Tracks)					
1967/07/23	Grateful Dead	Straight Theater		San Francisco	CA	
I:	Jam (Neal Cassady rap)					
1967/08/04	Grateful Dead	O'Keefe Center		Toronto	ON	(first New Potato Caboose)
I:	Lindy					
	New Potato Caboose					
	Viola Lee Blues					
1967/08/05	Grateful Dead	O'Keefe Center		Toronto	ON	
I:	Turn On Your Lovelight					
	Alligator					
1967/09/03	Grateful Dead	Rio Nido Ballroom		Rio Nido	CA	
I:	Dancin' In The Streets					
	It Hurts Me Too					
	Cold Rain & Snow					
	Good Morning Little Schoolgirl					
	Viola Lee Blues					
	Big Boss Man					
	Alligator					
1967/09/04	Grateful Dead	Rio Nido Ballroom		Rio Nido	CA	
I:	Morning Dew					
	Cold Rain & Snow					
	Viola Lee Blues					
	Alligator					
	> Caution (Do Not Stop On Tracks)					
	> Feedback					
	New Potato Caboose					
1967/09/15	Grateful Dead	Hollywood Bowl		Hollywood	CA	
I:	Viola Lee Blues					
	Cold Rain & Snow					
	Beat It On Down The Line					
	Good Morning Little Schoolgirl					
	Morning Dew					
	Alligator					
	> Caution (Do Not Stop On Tracks)					
1967/09/29	Grateful Dead	Straight Theater		San Francisco	CA	"(the recording from ""5/5/67"" is believed to be this show; also some purported video here)"
I:	Dancin' In The Streets					
	The Golden Road					
	> New Potato Caboose					
	Alligator					
	He Was A Friend Of Mine					
1967/10/22	Grateful Dead	Winterland Arena		San Francisco	CA	(first live performance of The Other One)
I:	Morning Dew					
	New Potato Caboose					
	Cold Rain & Snow					
	Turn On Your Lovelight					
	Beat It On Down The Line					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
1967/10/31	Grateful Dead	Winterland Arena		San Francisco	CA	
I:	Alligator					
	> Caution (Do Not Stop On Tracks)					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
1967/11/10	Grateful Dead	Shrine Auditorium		Los Angeles	CA	(released as Shrine Exposition Hall, Los Angeles, CA 11/10/1967; also released as part of 30 Trips Around The Sun)
I:	Viola Lee Blues					
	It Hurts Me Too					
	Beat It On Down The Line					
	Morning Dew					
	Good Morning Little Schoolgirl					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	New Potato Caboose					
	Alligator					
	> Caution (Do Not Stop On Tracks)					
	> Feedback					
1967/11/11	Grateful Dead	Shrine Auditorium		Los Angeles	CA	
I:	Turn On Your Lovelight					
	Beat It On Down The Line					
	Death Don't Have No Mercy					
	Good Morning Little Schoolgirl					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	New Potato Caboose					
	Alligator					
	> Drums					
	> Alligator					
	> Caution (Do Not Stop On Tracks)					
1967/11/14	Grateful Dead	American Studios		San Francisco	CA	
I:	Born Cross-Eyed					
	Dark Star					
1968/01/17	Grateful Dead	Carousel Ballroom		San Francisco	CA	(first Dark Star, China Cat Sunflower, The Eleven, Born Cross-Eyed)
I:	Turn On Your Lovelight					
	Dark Star					
	> China Cat Sunflower					
	> The Eleven					
	> Feedback					
	New Potato Caboose					
	> Born Cross-Eyed					
	> Feedback					
II:	Beat It On Down The Line					
	Morning Dew					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	> Good Morning Little Schoolgirl					
1968/01/20	Grateful Dead	Eureka Municipal Auditorium		Eureka	CA	(portions released as Road Trips v. 2 no. 2)
I:	Jam					
	> Clementine					
	> New Potato Caboose					
	> Born Cross-Eyed					
	> Spanish Jam					
	> Caution Jam					
	> Dark Star					
1968/01/26	Grateful Dead	Eagles Auditorium		Seattle	WA	(portions released as Road Trips v. 2 no. 2)
I:	Alligator					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	> New Potato Caboose					
	> Born Cross-Eyed					
	> Spanish Jam					
	> Dark Star					
	> China Cat Sunflower					
	> The Eleven					
	> Caution (Do Not Stop On Tracks)					
	> Feedback					
1968/01/27	Grateful Dead	Eagles Auditorium		Seattle	WA	
I:	Born Cross-Eyed					
	Turn On Your Lovelight					
	> Spanish Jam					
1968/02/02	Grateful Dead	Crystal Ballroom		Portland	OR	(portions released as Road Trips v. 2 no. 2)
I:	Viola Lee Blues					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	> Clementine					
	> Good Morning Little Schoolgirl					
1968/02/03	Grateful Dead	Crystal Ballroom		Portland	OR	
I:	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	> New Potato Caboose					
	It Hurts Me Too					
	Born Cross-Eyed					
	> Jam					
	Good Morning Little Schoolgirl					
	Dark Star					
	> China Cat Sunflower					
	> The Eleven					
	> Feedback					
1968/02/14	Grateful Dead	Carousel Ballroom		San Francisco	CA	(released as Road Trips v. 2 no. 2)
I:	Good Morning Little Schoolgirl					
	Dark Star					
	> China Cat Sunflower					
	> The Eleven					
	> Turn On Your Lovelight					
II:	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	> New Potato Caboose					
	> Born Cross-Eyed					
	> Spanish Jam					
	Alligator					
	> Caution (Do Not Stop On Tracks)					
	> Feedback					
E:	In the Midnight Hour					
1968/02/23	Grateful Dead	King's Beach Bowl		Lake Tahoe	CA	(released as Dick's Picks v. 22)
I:	Viola Lee Blues					
	It Hurts Me Too					
	Dark Star					
	> China Cat Sunflower					
	> The Eleven					
	Turn On Your Lovelight					
	Born Cross-Eyed					
	> Spanish Jam					
1968/02/24	Grateful Dead	King's Beach Bowl		Lake Tahoe	CA	(released as Dick's Picks v. 22)
I:	Morning Dew					
	Good Morning Little Schoolgirl					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	New Potato Caboose					
	Alligator					
	China Cat Sunflower					
	The Eleven					
	Alligator					
	> Caution (Do Not Stop On Tracks)					
	> Feedback					
1968/03/03	Grateful Dead	Haight Street		San Francisco	CA	
I:	Viola Lee Blues					
	Smokestack Lightning					
	Turn On Your Lovelight					
	It Hurts Me Too					
1968/03/16	Grateful Dead	Carousel Ballroom		San Francisco	CA	
I:	Dark Star					
	> China Cat Sunflower					
	> The Eleven					
	> Good Morning Little Schoolgirl					
II:	Morning Dew					
	It Hurts Me Too					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	Alligator					
	> Caution (Do Not Stop On Tracks)					
	> Feedback					
	> And We Bid You Goodnight					
1968/03/17	Grateful Dead	Carousel Ballroom		San Francisco	CA	(portions released as Download Series v. 6)
I:	Dark Star					
	> Born Cross-Eyed					
	Turn On Your Lovelight					
II:	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	> New Potato Caboose					
	China Cat Sunflower					
	> The Eleven					
	> Caution (Do Not Stop On Tracks)					
	> Feedback					
1968/03/29	Grateful Dead	Carousel Ballroom		San Francisco	CA	
I:	Good Morning Little Schoolgirl					
	Death Don't Have No Mercy					
	Sitting On Top Of The World					
	Dark Star					
	Morning Dew					
	Turn On Your Lovelight					
	> Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	> New Potato Caboose					
	> Born Cross-Eyed					
1968/03/30	Grateful Dead	Carousel Ballroom		San Francisco	CA	
I:	Morning Dew					
	Cryptical Envelopment					
	> The Other One					
	> Cryptical Envelopment					
	> Dark Star					
	> China Cat Sunflower					
	> The Eleven					
	> Turn On Your Lovelight					
II:	Born Cross-Eyed					
	> Feedback					
	> Spanish Jam					
	> Death Don't Have No Mercy					
1968/03/31	Grateful Dead	Carousel Ballroom		San Francisco	CA	
I:	Caution (Do Not Stop On Tracks)					
	> Feedback					
	> And We Bid You Goodnight					
1968/05/18	Grateful Dead	Santa Clara County Fairgrounds		San Jose	CA	(afternoon show; Northern California Folk-Rock Festival; the GD were a late addition and not included on the posters)
I:	Alligator					
	> Drums					
	> Alligator					
	> Caution (Do Not Stop On Tracks)					
	> Feedback					
1968/06/08	Grateful Dead	Carousel Ballroom		San Francisco	CA	(the circulating recording would seem to be from more than one show, possibly one of the other nights from this run)
I:	St. Stephen					
	> That's It For The Other One					
	> Turn On Your Lovelight					
	Morning Dew					
	It Hurts Me Too					
	Dark Star					
	> St. Stephen					
	> Turn On Your Lovelight					
1968/06/14	Grateful Dead	Fillmore East		New York	NY	(early and late shows)
I:	Feedback					
	> The Eleven					
	> St. Stephen					
	Alligator					
	> Turn On Your Lovelight					
	> Caution (Do Not Stop On Tracks)					
